Date,regionid
2014-03-10,VIC1
2014-04-18,ACT1
2014-04-18,NSW1
2014-04-18,NT1
2014-04-18,QLD1
2014-04-18,SA1
2014-04-18,TAS1
2014-04-18,VIC1
2014-04-18,WA1
2014-04-19,ACT1
2014-04-19,NSW1
2014-04-19,NT1
2014-04-19,QLD1
2014-04-19,SA1
2014-04-19,TAS1
2014-04-19,VIC1
2014-04-19,WA1
2014-04-20,NSW1
2014-04-20,VIC1
2014-04-21,ACT1
2014-04-21,NSW1
2014-04-21,NT1
2014-04-21,QLD1
2014-04-21,SA1
2014-04-21,TAS1
2014-04-21,VIC1
2014-04-21,WA1
2014-04-22,TAS1
2014-04-25,ACT1
2014-04-25,NSW1
2014-04-25,NT1
2014-04-25,QLD1
2014-04-25,SA1
2014-04-25,TAS1
2014-04-25,VIC1
2014-04-25,WA1
2014-05-05,NT1
2014-06-02,WA1
2014-06-09,ACT1
2014-06-09,NSW1
2014-06-09,NT1
2014-06-09,QLD1
2014-06-09,SA1
2014-06-09,TAS1
2014-06-09,VIC1
2014-08-04,NT1
2014-09-29,ACT1
2014-09-29,WA1
2014-10-06,ACT1
2014-10-06,NSW1
2014-10-06,QLD1
2014-10-06,SA1
2014-11-04,VIC1
2014-12-24,SA1
2014-12-25,ACT1
2014-12-25,NSW1
2014-12-25,NT1
2014-12-25,QLD1
2014-12-25,SA1
2014-12-25,TAS1
2014-12-25,VIC1
2014-12-25,WA1
2014-12-26,ACT1
2014-12-26,NSW1
2014-12-26,NT1
2014-12-26,QLD1
2014-12-26,SA1
2014-12-26,TAS1
2014-12-26,VIC1
2014-12-26,WA1
2014-12-31,SA1
2015-01-01,ACT1
2015-01-01,NSW1
2015-01-01,NT1
2015-01-01,QLD1
2015-01-01,SA1
2015-01-01,TAS1
2015-01-01,VIC1
2015-01-01,WA1
2015-01-26,ACT1
2015-01-26,NSW1
2015-01-26,NT1
2015-01-26,QLD1
2015-01-26,SA1
2015-01-26,TAS1
2015-01-26,VIC1
2015-01-26,WA1
2015-03-02,WA1
2015-03-09,ACT1
2015-03-09,SA1
2015-03-09,TAS1
2015-03-09,VIC1
2015-04-03,ACT1
2015-04-03,NSW1
2015-04-03,NT1
2015-04-03,QLD1
2015-04-03,SA1
2015-04-03,TAS1
2015-04-03,VIC1
2015-04-03,WA1
2015-04-04,ACT1
2015-04-04,NSW1
2015-04-04,NT1
2015-04-04,QLD1
2015-04-04,SA1
2015-04-04,TAS1
2015-04-04,VIC1
2015-04-04,WA1
2015-04-05,ACT1
2015-04-05,NSW1
2015-04-05,VIC1
2015-04-06,ACT1
2015-04-06,NSW1
2015-04-06,NT1
2015-04-06,QLD1
2015-04-06,SA1
2015-04-06,TAS1
