d,regionid,sun_hours
2012-12-15,SA1,9.521849188055556
2012-12-16,QLD1,10.139647505833333
2012-12-16,NSW1,9.612454683333334
2012-12-16,VIC1,9.24101452138889
2012-12-16,TAS1,8.681049057777777
2012-12-16,SA1,9.516941925277777
2012-12-17,QLD1,10.136711900277778
2012-12-17,NSW1,9.608596563333334
2012-12-17,VIC1,9.236499047499999
2012-12-17,TAS1,8.675464045
2012-12-17,SA1,9.512944413333333
2012-12-18,QLD1,10.134441873888889
2012-12-18,NSW1,9.605613694722223
2012-12-18,VIC1,9.233011716944445
2012-12-18,TAS1,8.671148094722222
2012-12-18,SA1,9.509861076944444
2012-12-19,QLD1,10.132839882499999
2012-12-19,NSW1,9.603509441111111
2012-12-19,VIC1,9.230556607777778
2012-12-19,TAS1,8.668106592777777
2012-12-19,SA1,9.507695426666666
2012-12-20,QLD1,10.131907743333333
2012-12-20,NSW1,9.602286286388889
2012-12-20,VIC1,9.22913672361111
2012-12-20,TAS1,8.666343499166667
2012-12-20,SA1,9.506450046388888
2012-12-21,QLD1,10.131646630833334
2012-12-21,NSW1,9.601945827222222
2012-12-21,VIC1,9.228753981666667
2012-12-21,TAS1,8.665861332777778
2012-12-21,SA1,9.506126583888888
2012-12-22,QLD1,10.132057070277778
2012-12-22,NSW1,9.602488767222221
2012-12-22,VIC1,9.229409207222222
2012-12-22,TAS1,8.66666116
2012-12-22,SA1,9.506725744444443
2012-12-23,QLD1,10.133138937499998
2012-12-23,NSW1,9.603914913611112
2012-12-23,VIC1,9.231102127777778
2012-12-23,TAS1,8.668742590555555
2012-12-23,SA1,9.508247288333335
2012-12-24,QLD1,10.134891458333334
2012-12-24,NSW1,9.60622317888889
2012-12-24,VIC1,9.233831376944444
2012-12-24,TAS1,8.672103779444445
2012-12-24,SA1,9.510690031944444
2012-12-25,QLD1,10.137313211944445
2012-12-25,NSW1,9.609411583888889
2012-12-25,VIC1,9.2375944975
2012-12-25,TAS1,8.676741433055556
2012-12-25,SA1,9.514051850555555
2012-12-26,QLD1,10.140402135
2012-12-26,NSW1,9.613477263888889
2012-12-26,VIC1,9.24238795
2012-12-26,TAS1,8.682650824166666
2012-12-26,SA1,9.51832968861111
2012-12-27,QLD1,10.144155528611112
2012-12-27,NSW1,9.618416480277778
2012-12-27,VIC1,9.248207128055554
2012-12-27,TAS1,8.689825809166667
2012-12-27,SA1,9.523519567500001
2012-12-28,QLD1,10.148570066388888
2012-12-28,NSW1,9.6242246325
2012-12-28,VIC1,9.255046371666667
2012-12-28,TAS1,8.698258852777778
2012-12-28,SA1,9.529616600277778
2012-12-29,QLD1,10.153641807222222
2012-12-29,NSW1,9.63089627361111
2012-12-29,VIC1,9.262898990833333
2012-12-29,TAS1,8.707941057777777
2012-12-29,SA1,9.53661501111111
2012-12-30,QLD1,10.159366207222222
2012-12-30,NSW1,9.638425131111111
2012-12-30,VIC1,9.271757288611111
2012-12-30,TAS1,8.718862200277778
2012-12-30,SA1,9.544508151944445
2012-12-31,QLD1,10.165738133888889
2012-12-31,NSW1,9.646804125833333
2012-12-31,VIC1,9.281612588055555
2012-12-31,TAS1,8.73101076888889
2012-12-31,SA1,9.553288528055555
2013-01-01,QLD1,10.172751883888889
2013-01-01,NSW1,9.656025397777778
2013-01-01,VIC1,9.29245526361111
2013-01-01,TAS1,8.74437400861111
2013-01-01,SA1,9.5629478225
2013-01-02,QLD1,10.180401200833334
2013-01-02,NSW1,9.666080331666668
2013-01-02,VIC1,9.304274775
2013-01-02,TAS1,8.758937970555555
2013-01-02,SA1,9.573476925555555
2013-01-03,QLD1,10.188679295
2013-01-03,NSW1,9.67695958638889
2013-01-03,VIC1,9.317059703333333
2013-01-03,TAS1,8.774687561666667
2013-01-03,SA1,9.584865963611112
2013-01-04,QLD1,10.197578864444445
2013-01-04,NSW1,9.688653125
2013-01-04,VIC1,9.330797790277776
2013-01-04,TAS1,8.791606603055556
2013-01-04,SA1,9.597104333333332
2013-01-05,QLD1,10.207092118333334
2013-01-05,NSW1,9.701150247222223
2013-01-05,VIC1,9.345475979722222
2013-01-05,TAS1,8.809677886111112
2013-01-05,SA1,9.610180735555556
2013-01-06,QLD1,10.217210799722222
2013-01-06,NSW1,9.714439623055556
2013-01-06,VIC1,9.361080460277778
2013-01-06,TAS1,8.828883235833333
2013-01-06,SA1,9.624083212222223
2013-01-07,QLD1,10.227926211388889
2013-01-07,NSW1,9.728509330555555
2013-01-07,VIC1,9.377596710277778
2013-01-07,TAS1,8.84920357138889
2013-01-07,SA1,9.638799182777777
2013-01-08,QLD1,10.239229239722222
2013-01-08,NSW1,9.743346889444444
2013-01-08,VIC1,9.395009545555554
2013-01-08,TAS1,8.870618975
2013-01-08,SA1,9.654315484722222
2013-01-09,QLD1,10.251110382777778
2013-01-09,NSW1,9.7589393
2013-01-09,VIC1,9.413303164444443
2013-01-09,TAS1,8.893108754166667
2013-01-09,SA1,9.670618413333333
2013-01-10,QLD1,10.263559776944446
2013-01-10,NSW1,9.775273081944446
2013-01-10,VIC1,9.432461197777776
2013-01-10,TAS1,8.916651511944444
2013-01-10,SA1,9.687693761666667
2013-01-11,QLD1,10.276567223333334
2013-01-11,NSW1,9.79233431388889
2013-01-11,VIC1,9.452466757222222
2013-01-11,TAS1,8.941225213333334
2013-01-11,SA1,9.705526861944444
2013-01-12,QLD1,10.29012221638889
2013-01-12,NSW1,9.810108669166667
2013-01-12,VIC1,9.473302485277777
2013-01-12,TAS1,8.966807253333332
2013-01-12,SA1,9.724102628055556
2013-01-13,QLD1,10.304213970833334
2013-01-13,NSW1,9.828581460277778
2013-01-13,VIC1,9.494950601944444
2013-01-13,TAS1,8.993374524722222
2013-01-13,SA1,9.743405596111112
2013-01-14,QLD1,10.318831450555555
2013-01-14,NSW1,9.847737673333334
2013-01-14,VIC1,9.517392956666667
2013-01-14,TAS1,9.020903484722222
2013-01-14,SA1,9.763419967777779
2013-01-15,QLD1,10.333963394722222
2013-01-15,NSW1,9.867562010277778
2013-01-15,VIC1,9.540611075
2013-01-15,TAS1,9.049370221666667
2013-01-15,SA1,9.78412964888889
2013-01-16,QLD1,10.349598347777778
2013-01-16,NSW1,9.888038925833332
2013-01-16,VIC1,9.56458620638889
2013-01-16,TAS1,9.078750517777777
2013-01-16,SA1,9.805518293055554
2013-01-17,QLD1,10.365724683888889
2013-01-17,NSW1,9.909152665833332
2013-01-17,VIC1,9.589299372500001
2013-01-17,TAS1,9.109019914444444
2013-01-17,SA1,9.827569339166667
2013-01-18,QLD1,10.382330634722223
2013-01-18,NSW1,9.930887305
2013-01-18,VIC1,9.614731410555555
2013-01-18,TAS1,9.1401537725
2013-01-18,SA1,9.850266052222223
2013-01-19,QLD1,10.399404316111113
2013-01-19,NSW1,9.953226781666666
2013-01-19,VIC1,9.64086302
2013-01-19,TAS1,9.172127331666665
2013-01-19,SA1,9.873591562222222
2013-01-20,QLD1,10.4169337525
2013-01-20,NSW1,9.976154934444445
2013-01-20,VIC1,9.667674805
2013-01-20,TAS1,9.204915766666666
2013-01-20,SA1,9.897528898333334
2013-01-21,QLD1,10.43490690111111
2013-01-21,NSW1,9.999655536111112
2013-01-21,VIC1,9.695147315555557
2013-01-21,TAS1,9.238494243055555
2013-01-21,SA1,9.922061028611111
2013-01-22,QLD1,10.453311678333334
2013-01-22,NSW1,10.02371232527778
2013-01-22,VIC1,9.723261087777777
2013-01-22,TAS1,9.27283796861111
2013-01-22,SA1,9.94717089138889
2013-01-23,QLD1,10.472135979722223
2013-01-23,NSW1,10.048309038888888
2013-01-23,VIC1,9.751996681666666
2013-01-23,TAS1,9.3079222425
2013-01-23,SA1,9.972841429444443
2013-01-24,QLD1,10.491367703333335
2013-01-24,NSW1,10.073429442222222
2013-01-24,VIC1,9.781334717777778
2013-01-24,TAS1,9.34372250138889
2013-01-24,SA1,9.999055621666667
2013-01-25,QLD1,10.510994770833333
2013-01-25,NSW1,10.09905735638889
2013-01-25,VIC1,9.811255910555555
2013-01-25,TAS1,9.38021436388889
2013-01-25,SA1,10.025796513888888
2013-01-26,QLD1,10.531005146944445
2013-01-26,NSW1,10.125176686666666
2013-01-26,VIC1,9.841741102222223
2013-01-26,TAS1,9.417373671666667
2013-01-26,SA1,10.053047243888889
2013-01-27,QLD1,10.551386859166668
2013-01-27,NSW1,10.151771446666666
2013-01-27,VIC1,9.872771291111112
2013-01-27,TAS1,9.455176525
2013-01-27,SA1,10.080791072222222
2013-01-28,QLD1,10.57212801388889
2013-01-28,NSW1,10.178825783333332
2013-01-28,VIC1,9.904327661388889
2013-01-28,TAS1,9.493599320555555
2013-01-28,SA1,10.10901140388889
2013-01-29,QLD1,10.593216815277778
2013-01-29,NSW1,10.206323997777778
2013-01-29,VIC1,9.936391607500001
2013-01-29,TAS1,9.532618781111111
2013-01-29,SA1,10.137691812777778
2013-01-30,QLD1,10.614641578055556
2013-01-30,NSW1,10.234250567222222
2013-01-30,VIC1,9.968944760277777
2013-01-30,TAS1,9.572211985833334
2013-01-30,SA1,10.166816062777778
2013-01-31,QLD1,10.636390745
2013-01-31,NSW1,10.262590161944445
2013-01-31,VIC1,10.00196900777778
2013-01-31,TAS1,9.61235639638889
2013-01-31,SA1,10.19636812777778
2013-02-01,QLD1,10.658452897777778
2013-02-01,NSW1,10.291327665555556
2013-02-01,VIC1,10.035446515277776
2013-02-01,TAS1,9.653029879444444
2013-02-01,SA1,10.22633220888889
2013-02-02,QLD1,10.680816769722222
2013-02-02,NSW1,10.3204481875
2013-02-02,VIC1,10.069359742500001
2013-02-02,TAS1,9.69421072888889
2013-02-02,SA1,10.256692751666668
2013-02-03,QLD1,10.703471257777778
2013-02-03,NSW1,10.349937078888889
2013-02-03,VIC1,10.103691461666667
2013-02-03,TAS1,9.735877683055556
2013-02-03,SA1,10.287434459444444
2013-02-04,QLD1,10.726405431388889
2013-02-04,NSW1,10.379779945277777
2013-02-04,VIC1,10.138424769444443
2013-02-04,TAS1,9.778009940555556
2013-02-04,SA1,10.31854230777778
2013-02-05,QLD1,10.749608540555556
2013-02-05,NSW1,10.4099626575
2013-02-05,VIC1,10.173543101388889
2013-02-05,TAS1,9.820587173888889
2013-02-05,SA1,10.350001554722223
2013-02-06,QLD1,10.773070026388888
2013-02-06,NSW1,10.440471359722222
2013-02-06,VIC1,10.209030240277778
2013-02-06,TAS1,9.863589539444444
2013-02-06,SA1,10.38179775111111
2013-02-07,QLD1,10.796779525555555
2013-02-07,NSW1,10.471292480555555
2013-02-07,VIC1,10.244870326666666
2013-02-07,TAS1,9.906997686666667
2013-02-07,SA1,10.413916749166665
2013-02-08,QLD1,10.820726876111111
2013-02-08,NSW1,10.502412738333332
2013-02-08,VIC1,10.281047864722222
2013-02-08,TAS1,9.950792765555555
2013-02-08,SA1,10.446344708333333
2013-02-09,QLD1,10.844902124166666
2013-02-09,NSW1,10.533819146111112
2013-02-09,VIC1,10.317547729722222
2013-02-09,TAS1,9.994956428611111
2013-02-09,SA1,10.479068103333333
2013-02-10,QLD1,10.869295526111111
2013-02-10,NSW1,10.5654990175
2013-02-10,VIC1,10.354355170000002
2013-02-10,TAS1,10.039470836388888
2013-02-10,SA1,10.512073725833332
2013-02-11,QLD1,10.8938975525
2013-02-11,NSW1,10.597439968611111
2013-02-11,VIC1,10.391455810833333
2013-02-11,TAS1,10.084318657499999
2013-02-11,SA1,10.54534868861111
2013-02-12,QLD1,10.918698889444444
2013-02-12,NSW1,10.629629921666666
2013-02-12,VIC1,10.428835656111112
2013-02-12,TAS1,10.129483066666667
2013-02-12,SA1,10.578880428333333
2013-02-13,QLD1,10.9436904425
2013-02-13,NSW1,10.662057103888888
2013-02-13,VIC1,10.466481087777778
2013-02-13,TAS1,10.174947744444445
2013-02-13,SA1,10.612656704722223
2013-02-14,QLD1,10.968863333888889
2013-02-14,NSW1,10.694710049166666
2013-02-14,VIC1,10.504378865833333
2013-02-14,TAS1,10.220696871944444
2013-02-14,SA1,10.646665601388888
2013-02-15,QLD1,10.994208905555556
2013-02-15,NSW1,10.727577597222222
2013-02-15,VIC1,10.542516124166667
2013-02-15,TAS1,10.266715126388888
2013-02-15,SA1,10.680895524722223
2013-02-16,QLD1,11.019718716388889
2013-02-16,NSW1,10.760648889999999
2013-02-16,VIC1,10.580880370277777
2013-02-16,TAS1,10.312987675555556
2013-02-16,SA1,10.715335201111111
2013-02-17,QLD1,11.0453845425
2013-02-17,NSW1,10.793913371666667
2013-02-17,VIC1,10.619459478055555
2013-02-17,TAS1,10.359500169166667
2013-02-17,SA1,10.749973674166668
2013-02-18,QLD1,11.071198374722222
2013-02-18,NSW1,10.8273607825
2013-02-18,VIC1,10.65824168638889
2013-02-18,TAS1,10.406238732777778
2013-02-18,SA1,10.78480030138889
2013-02-19,QLD1,11.097152415277778
2013-02-19,NSW1,10.860981157222222
2013-02-19,VIC1,10.697215590277779
2013-02-19,TAS1,10.453189955
2013-02-19,SA1,10.819804749444446
2013-02-20,QLD1,11.123239076944444
2013-02-20,NSW1,10.894764818611112
2013-02-20,VIC1,10.736370135277777
2013-02-20,TAS1,10.500340880555555
2013-02-20,SA1,10.854976988333332
2013-02-21,QLD1,11.149450978611112
2013-02-21,NSW1,10.928702372777778
2013-02-21,VIC1,10.775694611111112
2013-02-21,TAS1,10.547678999444443
2013-02-21,SA1,10.890307286666665
2013-02-22,QLD1,11.175780940000001
2013-02-22,NSW1,10.96278470388889
2013-02-22,VIC1,10.81517864361111
2013-02-22,TAS1,10.595192231944445
2013-02-22,SA1,10.925786205
2013-02-23,QLD1,11.202221979722223
2013-02-23,NSW1,10.997002965833333
2013-02-23,VIC1,10.854812185277778
2013-02-23,TAS1,10.642868920833333
