date,regionid,avg_wind_speed_km_per_h,max_wind_speed_km_per_h
2009-04-03,QLD1,9.0,27.7
2009-04-03,SA1,35.6,57.2
2009-04-03,TAS1,15.8,37.1
2009-04-03,VIC1,15.8,50.0
2009-04-04,NSW1,13.3,42.5
2009-04-04,QLD1,14.0,33.5
2009-04-04,SA1,22.7,50.0
2009-04-04,TAS1,14.8,55.4
2009-04-04,VIC1,13.3,37.1
2009-04-05,NSW1,18.0,35.3
2009-04-05,QLD1,15.8,61.2
2009-04-05,SA1,25.2,48.2
2009-04-05,TAS1,19.8,61.2
2009-04-05,VIC1,12.6,42.5
2009-04-06,NSW1,13.7,38.9
2009-04-06,QLD1,15.8,33.5
2009-04-06,SA1,23.8,51.8
2009-04-06,TAS1,16.6,64.8
2009-04-06,VIC1,16.2,44.3
2009-04-07,NSW1,17.3,40.7
2009-04-07,QLD1,18.0,42.5
2009-04-07,SA1,21.2,44.3
2009-04-07,TAS1,13.7,48.2
2009-04-07,VIC1,18.4,46.4
2009-04-08,NSW1,18.0,42.5
2009-04-08,QLD1,18.0,42.5
2009-04-08,SA1,16.2,37.1
2009-04-08,TAS1,10.1,27.7
2009-04-08,VIC1,9.4,31.3
2009-04-09,NSW1,17.6,35.3
2009-04-09,QLD1,16.6,37.1
2009-04-09,SA1,11.5,24.1
2009-04-09,TAS1,10.1,27.7
2009-04-09,VIC1,13.3,31.3
2009-04-10,NSW1,14.4,38.9
2009-04-10,QLD1,24.5,42.5
2009-04-10,SA1,12.6,27.7
2009-04-10,TAS1,22.0,46.4
2009-04-10,VIC1,5.8,35.3
2009-04-11,NSW1,14.4,24.1
2009-04-11,QLD1,19.4,38.9
2009-04-11,SA1,14.0,25.9
2009-04-11,TAS1,8.6,27.7
2009-04-11,VIC1,10.8,27.7
2009-04-12,NSW1,9.0,22.3
2009-04-12,QLD1,15.5,38.9
2009-04-12,SA1,14.0,27.7
2009-04-12,TAS1,15.1,50.0
2009-04-12,VIC1,9.4,31.3
2009-04-13,NSW1,10.8,24.1
2009-04-13,QLD1,18.4,37.1
2009-04-13,SA1,15.8,27.7
2009-04-13,TAS1,16.9,57.2
2009-04-13,VIC1,8.6,24.1
2009-04-14,NSW1,9.0,25.9
2009-04-14,QLD1,13.3,29.5
2009-04-14,SA1,19.8,68.4
2009-04-14,TAS1,24.5,55.4
2009-04-14,VIC1,10.4,42.5
2009-04-15,NSW1,12.6,50.0
2009-04-15,QLD1,15.1,40.7
2009-04-15,SA1,20.2,40.7
2009-04-15,TAS1,22.7,68.4
2009-04-15,VIC1,14.4,74.2
2009-04-16,NSW1,10.8,27.7
2009-04-16,QLD1,15.8,40.7
2009-04-16,SA1,14.8,25.9
2009-04-16,TAS1,18.7,64.8
2009-04-16,VIC1,9.0,38.9
2009-04-17,NSW1,13.7,27.7
2009-04-17,QLD1,13.3,35.3
2009-04-17,SA1,14.0,35.3
2009-04-17,TAS1,18.7,48.2
2009-04-17,VIC1,7.9,29.5
2009-04-18,NSW1,16.2,29.5
2009-04-18,QLD1,14.8,33.5
2009-04-18,SA1,16.6,40.7
2009-04-18,TAS1,15.5,50.0
2009-04-18,VIC1,13.3,37.1
2009-04-19,NSW1,14.8,31.3
2009-04-19,QLD1,15.5,31.3
2009-04-19,SA1,18.0,38.9
2009-04-19,TAS1,9.7,20.5
2009-04-19,VIC1,19.8,38.9
2009-04-20,NSW1,15.5,38.9
2009-04-20,QLD1,15.8,35.3
2009-04-20,SA1,14.0,27.7
2009-04-20,TAS1,10.8,24.1
2009-04-20,VIC1,11.5,27.7
2009-04-21,NSW1,18.4,44.3
2009-04-21,QLD1,16.6,33.5
2009-04-21,SA1,18.7,38.9
2009-04-21,TAS1,8.6,25.9
2009-04-21,VIC1,3.6,24.1
2009-04-22,NSW1,19.8,46.4
2009-04-22,QLD1,13.3,29.5
2009-04-22,SA1,29.9,50.0
2009-04-22,TAS1,11.2,29.5
2009-04-22,VIC1,8.6,33.5
2009-04-23,NSW1,16.6,38.9
2009-04-23,QLD1,14.8,31.3
2009-04-23,SA1,30.2,59.4
2009-04-23,TAS1,18.7,44.3
2009-04-23,VIC1,15.5,46.4
2009-04-24,NSW1,21.2,68.4
2009-04-24,QLD1,15.5,40.7
2009-04-24,SA1,33.5,57.2
2009-04-24,TAS1,15.5,55.4
2009-04-24,VIC1,16.6,40.7
2009-04-25,NSW1,17.3,40.7
2009-04-25,QLD1,13.3,33.5
2009-04-25,SA1,27.7,61.2
2009-04-25,TAS1,10.8,35.3
2009-04-25,VIC1,15.8,61.2
2009-04-26,NSW1,21.2,48.2
2009-04-26,QLD1,13.0,38.9
2009-04-26,SA1,26.3,50.0
2009-04-26,TAS1,16.6,68.4
2009-04-26,VIC1,22.0,61.2
2009-04-27,NSW1,13.0,48.2
2009-04-27,QLD1,12.2,35.3
2009-04-27,SA1,12.6,35.3
2009-04-27,TAS1,16.9,50.0
2009-04-27,VIC1,11.9,33.5
2009-04-28,NSW1,16.9,46.4
2009-04-28,QLD1,14.0,40.7
2009-04-28,SA1,11.5,24.1
2009-04-28,TAS1,11.5,48.2
2009-04-28,VIC1,12.2,38.9
2009-04-29,NSW1,13.0,31.3
2009-04-29,QLD1,13.0,38.9
2009-04-29,SA1,13.0,35.3
2009-04-29,TAS1,12.6,29.5
2009-04-29,VIC1,11.2,22.3
2009-04-30,NSW1,7.6,24.1
2009-04-30,QLD1,15.8,33.5
2009-04-30,SA1,13.7,27.7
2009-04-30,TAS1,15.8,40.7
2009-04-30,VIC1,5.0,20.5
2009-05-01,NSW1,11.5,24.1
2009-05-01,QLD1,17.3,37.1
2009-05-01,SA1,9.7,27.7
2009-05-01,TAS1,20.9,50.0
2009-05-01,VIC1,5.4,24.1
2009-05-02,NSW1,12.2,25.9
2009-05-02,QLD1,15.1,25.9
2009-05-02,SA1,18.7,29.5
2009-05-02,TAS1,16.9,46.4
2009-05-02,VIC1,9.0,18.4
2009-05-03,NSW1,15.8,35.3
2009-05-03,QLD1,14.8,29.5
2009-05-03,SA1,15.1,29.5
2009-05-03,TAS1,13.0,51.8
2009-05-03,VIC1,6.5,24.1
2009-05-04,NSW1,14.4,29.5
2009-05-04,QLD1,15.1,35.3
2009-05-04,SA1,15.5,33.5
2009-05-04,TAS1,15.5,76.0
2009-05-04,VIC1,7.2,25.9
2009-05-05,NSW1,15.1,38.9
2009-05-05,QLD1,19.8,48.2
2009-05-05,SA1,13.7,29.5
2009-05-05,TAS1,10.1,35.3
2009-05-05,VIC1,5.8,16.6
2009-05-06,NSW1,12.2,27.7
2009-05-06,QLD1,19.1,40.7
2009-05-06,SA1,15.8,35.3
2009-05-06,TAS1,19.4,53.6
2009-05-06,VIC1,11.9,27.7
2009-05-07,NSW1,14.4,27.7
2009-05-07,QLD1,14.8,31.3
2009-05-07,SA1,17.6,33.5
2009-05-07,TAS1,16.9,46.4
2009-05-07,VIC1,10.1,29.5
2009-05-08,NSW1,11.2,27.7
2009-05-08,QLD1,15.8,38.9
2009-05-08,SA1,17.6,38.9
2009-05-08,TAS1,12.6,37.1
2009-05-08,VIC1,16.6,35.3
2009-05-09,NSW1,13.3,24.1
2009-05-09,QLD1,14.0,37.1
2009-05-09,SA1,12.6,27.7
2009-05-09,TAS1,11.2,31.3
2009-05-09,VIC1,13.3,40.7
2009-05-10,NSW1,15.8,33.5
2009-05-10,QLD1,10.8,29.5
2009-05-10,SA1,14.8,29.5
2009-05-10,TAS1,10.4,24.1
2009-05-10,VIC1,13.3,38.9
2009-05-11,NSW1,15.8,35.3
2009-05-11,QLD1,13.7,33.5
2009-05-11,SA1,15.1,31.3
2009-05-11,TAS1,7.9,18.4
2009-05-11,VIC1,9.4,24.1
2009-05-12,NSW1,13.3,35.3
2009-05-12,QLD1,19.8,42.5
2009-05-12,SA1,11.5,31.3
2009-05-12,TAS1,10.4,33.5
2009-05-12,VIC1,12.6,27.7
2009-05-13,NSW1,11.9,35.3
2009-05-13,QLD1,10.8,25.9
2009-05-13,SA1,14.0,35.3
2009-05-13,TAS1,21.2,63.0
2009-05-13,VIC1,7.9,35.3
2009-05-14,NSW1,8.6,42.5
2009-05-14,QLD1,11.9,33.5
2009-05-14,SA1,16.6,35.3
2009-05-14,TAS1,15.8,53.6
2009-05-14,VIC1,15.5,50.0
2009-05-15,NSW1,11.2,44.3
2009-05-15,QLD1,11.5,29.5
2009-05-15,SA1,12.2,31.3
2009-05-15,TAS1,26.3,79.6
2009-05-15,VIC1,20.2,48.2
2009-05-16,NSW1,14.0,40.7
2009-05-16,QLD1,14.0,27.7
2009-05-16,SA1,16.6,33.5
2009-05-16,TAS1,27.7,79.6
2009-05-16,VIC1,16.6,59.4
2009-05-17,NSW1,10.1,35.3
2009-05-17,QLD1,12.2,29.5
2009-05-17,SA1,14.0,27.7
2009-05-17,TAS1,28.8,109.1
2009-05-17,VIC1,7.6,24.1
2009-05-18,NSW1,23.0,50.0
2009-05-18,QLD1,9.0,33.5
2009-05-18,SA1,14.0,27.7
2009-05-18,TAS1,9.7,29.5
2009-05-18,VIC1,9.0,31.3
2009-05-19,NSW1,15.8,35.3
2009-05-19,QLD1,11.5,29.5
2009-05-19,SA1,10.8,46.4
2009-05-19,TAS1,6.8,25.9
2009-05-19,VIC1,13.0,31.3
2009-05-20,NSW1,16.9,42.5
2009-05-20,QLD1,13.7,40.7
2009-05-20,SA1,16.6,37.1
2009-05-20,TAS1,12.6,42.5
2009-05-20,VIC1,10.8,31.3
2009-05-21,NSW1,28.1,66.6
2009-05-21,QLD1,10.1,31.3
2009-05-21,SA1,15.8,29.5
2009-05-21,TAS1,9.4,29.5
